theater_id,theater_name,description,examples
UKRAINE,Ukraine Conflict Theater,Russia-Ukraine war zone and border regions,"Ukraine, Donbas, Crimea, Polish border incidents"
GAZA,Gaza/Palestine Theater,Israel-Palestine conflict zone,"Gaza Strip, West Bank, Jerusalem, southern Lebanon"
TAIWAN_STRAIT,Taiwan Strait Theater,China-Taiwan tensions and military activities,"Taiwan, South China Sea, regional naval operations"
IRAN_NUCLEAR,Iran Nuclear Theater,Iran nuclear program and related sanctions/diplomacy,"Iran, IAEA negotiations, Gulf states, sanctions regime"
EUROPE_SECURITY,European Security Theater,NATO/EU security and defense matters,"NATO Article 5, European defense, Baltic security"
US_DOMESTIC,US Domestic Theater,US internal politics and domestic policy,"US elections, immigration, domestic security, federal policy"
CHINA_TRADE,China Trade Theater,US-China economic competition and trade wars,"Trade sanctions, tech competition, economic diplomacy"
MEAST_REGIONAL,Middle East Regional Theater,Broader Middle East conflicts and diplomacy,"Syria, Iraq, Yemen, Gulf states, regional alliances"
CYBER_GLOBAL,Global Cyber Theater,International cyber operations and digital warfare,"State-sponsored hacking, critical infrastructure, cyber diplomacy"
CLIMATE_GLOBAL,Climate/Energy Theater,Global climate and energy security issues,"Energy infrastructure, climate diplomacy, resource conflicts"
AFRICA_SECURITY,Africa Security Theater,African conflicts and security operations,"Sahel operations, Horn of Africa, peacekeeping missions"
KOREA_PENINSULA,Korean Peninsula Theater,North Korea nuclear program and regional tensions,"DPRK missiles, US-ROK alliance, China involvement"
LATAM_REGIONAL,Latin America Regional Theater,Latin American regional politics and US-LATAM relations,"US-Venezuela tensions, US-Mexico border, regional trade conflicts, migration crises"
ARCTIC,Arctic Theater,Arctic sovereignty and resource competition,"Arctic Council, shipping routes, territorial claims"
GLOBAL_SUMMIT,Global Diplomatic Theater,Major international summits and multilateral diplomacy,"G7/G20, UN Security Council, international treaties"
